ocreval Word Accuracy Report Version 7.0
----------------------------------------
     904   Words
      92   Misrecognized
   89.82%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       1        0   100.00   পরে
       1        0   100.00   পরেই
       2        0   100.00   পশ্চিম
       1        0   100.00   পাঁচ
       1        1     0.00   পাঁচবার
       1        0   100.00   পাইনে
       1        0   100.00   পাওয়া
       1        0   100.00   পান
       1        0   100.00   পাপড়ির
       1        0   100.00   পায়ের
       1        0   100.00   পারলে
       1        0   100.00   পারা
       1        0   100.00   পারে
       1        0   100.00   পারো
       1        0   100.00   পালিয়ে
       1        1     0.00   পালিয়েছিল
       1        0   100.00   পাষাণমূর্ত্তি
       1        0   100.00   পাহাড়ের
       1        0   100.00   পাহারা
       1        1     0.00   পুস্পপেলব
       1        0   100.00   পূর্ণিমার
       2        0   100.00   পূর্ব্বে
       1        0   100.00   পেয়ে
       1        0   100.00   পেয়েছি
       1        0   100.00   পৌঁছল
       1        0   100.00   প্রতাপশালী
       1        0   100.00   প্রতিদিনের
       1        1     0.00   প্রতীক্ষায়
       1        0   100.00   প্রত্যাগত
       1        0   100.00   প্রথমে
      12        0   100.00   প্রদ্যুম্ন
       2        1    50.00   প্রদ্যুম্নকে
       2        0   100.00   প্রদ্যুম্নের
       1        0   100.00   প্রবাসী
       1        0   100.00   প্রাঙ্গণে
       1        1     0.00   প্রান্তে
       1        0   100.00   প্রায়
       1        0   100.00   প্রায়ই
       1        1     0.00   প্ৰকৃতি
       1        1     0.00   প্ৰব্ৰজ্যা
       1        0   100.00   ফরেস্ট
       1        0   100.00   ফুলটা
       1        0   100.00   ফেলাই
       1        0   100.00   ফেলেছে
       5        0   100.00   ব'সে
       1        0   100.00   ব'সো
       6        1    83.33   বড়
       1        0   100.00   বনের
       1        0   100.00   বয়সে
       1        0   100.00   বরিশালের
       1        0   100.00   বলতে
       1        0   100.00   বললুম
       8        1    87.50   বললে
       6        0   100.00   বললেন
       1        0   100.00   বলি
       1        1     0.00   বলে
       1        1     0.00   বসে
       1        0   100.00   বহু
       1        0   100.00   বাঁকের
       1        0   100.00   বাঁধন
       1        0   100.00   বাঁশবনে
       1        0   100.00   বাঁশীটি
       1        0   100.00   বাঁশীর
       1        0   100.00   বাংলা
       4        0   100.00   বাইরে
       1        1     0.00   বাকলা
       1        0   100.00   বাঘের
       1        0   100.00   বাজিকরদের
       1        0   100.00   বাতায়ন
       1        0   100.00   বার
       1        0   100.00   বারই
       1        0   100.00   বাহুটি
       1        0   100.00   বিকালে
       1        0   100.00   বিকেলের
       1        1     0.00   বিজয়োন্মত্ত
       1        0   100.00   বিবাহ
       1        0   100.00   বিশ
       1        0   100.00   বিষাক্ত
       1        0   100.00   বিহারে
